%Y-%m-%d;SP500
1990-02-28;0.0085
1990-03-31;0.024
1990-04-30;-0.0273
1990-05-31;0.088
1990-06-30;-0.0089
1990-07-31;-0.0052
1990-08-31;-0.0991
1990-09-30;-0.0525
1990-10-31;-0.0067
1990-11-30;0.0582
1990-12-31;0.0245
1991-01-31;0.0407
1991-02-28;0.0651
1991-03-31;0.022
1991-04-30;3e-04
1991-05-31;0.0379
1991-06-30;-0.0491
1991-07-31;0.0439
1991-08-31;0.0195
1991-09-30;-0.0193
1991-10-31;0.0118
1991-11-30;-0.0449
1991-12-31;0.1058
1992-01-31;-0.0201
1992-02-29;0.0095
1992-03-31;-0.0221
1992-04-30;0.0275
1992-05-31;0.001
1992-06-30;-0.0175
1992-07-31;0.0386
1992-08-31;-0.0243
1992-09-30;0.0091
1992-10-31;0.0021
1992-11-30;0.0298
1992-12-31;0.0101
1993-01-31;0.007
1993-02-28;0.0104
1993-03-31;0.0185
1993-04-30;-0.0257
1993-05-31;0.0225
1993-06-30;8e-04
1993-07-31;-0.0053
1993-08-31;0.0339
1993-09-30;-0.01
1993-10-31;0.0192
1993-11-30;-0.013
1993-12-31;0.01
1994-01-31;0.032
1994-02-28;-0.0305
1994-03-31;-0.0468
1994-04-30;0.0115
1994-05-31;0.0123
1994-06-30;-0.0272
1994-07-31;0.031
1994-08-31;0.0369
1994-09-30;-0.0272
1994-10-31;0.0206
1994-11-30;-0.0403
1994-12-31;0.0122
1995-01-31;0.024
1995-02-28;0.0354
1995-03-31;0.027
1995-04-30;0.0276
1995-05-31;0.0357
1995-06-30;0.0211
1995-07-31;0.0313
1995-08-31;-3e-04
1995-09-30;0.0393
1995-10-31;-0.005
1995-11-30;0.0402
1995-12-31;0.0173
1996-01-31;0.0321
1996-02-29;0.0069
1996-03-31;0.0079
1996-04-30;0.0133
1996-05-31;0.0226
1996-06-30;0.0023
1996-07-31;-0.0468
1996-08-31;0.0186
1996-09-30;0.0528
1996-10-31;0.0258
1996-11-30;0.0708
1996-12-31;-0.0217
1997-01-31;0.0595
1997-02-28;0.0059
1997-03-31;-0.0435
1997-04-30;0.0568
1997-05-31;0.0569
1997-06-30;0.0425
1997-07-31;0.0752
1997-08-31;-0.0592
1997-09-30;0.0518
1997-10-31;-0.0351
1997-11-30;0.0436
1997-12-31;0.0156
1998-01-31;0.0101
1998-02-28;0.0681
1998-03-31;0.0487
1998-04-30;0.009
1998-05-31;-0.019
1998-06-30;0.0387
1998-07-31;-0.0117
1998-08-31;-0.1576
1998-09-30;0.0605
1998-10-31;0.0772
1998-11-30;0.0574
1998-12-31;0.0548
1999-01-31;0.0402
1999-02-28;-0.0328
1999-03-31;0.0381
1999-04-30;0.0372
1999-05-31;-0.0253
1999-06-30;0.053
1999-07-31;-0.0326
1999-08-31;-0.0063
1999-09-30;-0.029
1999-10-31;0.0607
1999-11-30;0.019
1999-12-31;0.0561
2000-01-31;-0.0522
2000-02-29;-0.0203
2000-03-31;0.0923
2000-04-30;-0.0313
2000-05-31;-0.0222
2000-06-30;0.0237
2000-07-31;-0.0165
2000-08-31;0.0589
2000-09-30;-0.055
2000-10-31;-0.005
2000-11-30;-0.0835
2000-12-31;0.004
2001-01-31;0.0341
