DATE          VALUE
1995-01-01   7339.2
1995-04-01   7390.3
1995-07-01   7473.1
1995-10-01   7574.6
1996-01-01   7676.6
1996-04-01   7829.9
1996-07-01   7919.3
1996-10-01   8054.7
1997-01-01   8160.1
1997-04-01   8307.7
1997-07-01   8433.1
1997-10-01   8522.3
1998-01-01   8626.0
1998-04-01   8721.4
1998-07-01   8856.8
1998-10-01   9039.0
1999-01-01   9171.4
1999-04-01   9280.5
1999-07-01   9430.1
1999-10-01   9643.2
2000-01-01   9740.5
2000-04-01   9983.5
2000-07-01  10048.0
2000-10-01  10184.9
2001-01-01  10206.2
2001-04-01  10350.9
2001-07-01  10332.2
2001-10-01  10463.1
2002-01-01  10549.7
2002-04-01  10634.7
2002-07-01  10749.1
2002-10-01  10832.2
2003-01-01  10940.2
2003-04-01  11073.6
2003-07-01  11321.2
2003-10-01  11508.3
2004-01-01  11707.8
2004-04-01  11864.2
2004-07-01  12047.3
2004-10-01  12216.6
