type|date|dayWeek|expl
early1pm|1929-11-11|(Mon)|Closed at 1:00 pm to allow member firm offices to catch up on work and to relieve personnel.
early1pm|1929-11-12|(Tue)|Closed at 1:00 pm to allow member firm offices to catch up on work and to relieve personnel.
early1pm|1929-11-13|(Wed)|Closed at 1:00 pm to allow member firm offices to catch up on work and to relieve personnel.
early1pm|1929-11-14|(Thu)|Closed at 1:00 pm to allow member firm offices to catch up on work and to relieve personnel.
early1pm|1929-11-15|(Fri)|Closed at 1:00 pm to allow member firm offices to catch up on work and to relieve personnel.
closed|1929-11-16|(Sat)|To allow member firm offices to catch up on work and to relieve personnel.
early1pm|1929-11-18|(Mon)|Closed at 1:00 pm to allow member firm offices to catch up on work and to relieve personnel.
early1pm|1929-11-19|(Tue)|Closed at 1:00 pm to allow member firm offices to catch up on work and to relieve personnel.
early1pm|1929-11-20|(Wed)|Closed at 1:00 pm to allow member firm offices to catch up on work and to relieve personnel.
early1pm|1929-11-21|(Thu)|Closed at 1:00 pm to allow member firm offices to catch up on work and to relieve personnel.
early1pm|1929-11-22|(Fri)|Closed at 1:00 pm to allow member firm offices to catch up on work and to relieve personnel.
closed|1929-11-23|(Sat)|To allow member firm offices to catch up on work and to relieve personnel.
closed|1929-11-29|(Fri)|To allow member firm offices to catch up on work and to relieve personnel.
closed|1929-11-30|(Sat)|To allow member firm offices to catch up on work and to relieve personnel.
early12:30pm|1930-03-11|(Tue)|Closed at 12:30 pm. Funeral of former President William Howard Taft.
closed|1930-04-19|(Sat)|Saturday after Good Friday.
closed|1930-05-31|(Sat)|Saturday after Decoration Day.
closed|1930-07-05|(Sat)|Saturday after Independence Day.
closed|1930-08-30|(Sat)|Saturday before Labor Day.
closed|1931-09-05|(Sat)|Saturday before Labor Day.
closed|1931-12-26|(Sat)|Saturday after Christmas.
closed|1932-07-02|(Sat)|Saturday before Independence Day.
closed|1933-01-07|(Sat)|Funeral of former President Calvin Coolidge.
closed|1933-03-04|(Sat)|State banking holiday.
closed|1933-03-06|(Mon)|National banking holiday.
closed|1933-03-07|(Tue)|National banking holiday.
closed|1933-03-08|(Wed)|National banking holiday.
closed|1933-03-09|(Thu)|National banking holiday.
closed|1933-03-10|(Fri)|National banking holiday.
closed|1933-03-13|(Mon)|National banking holiday.
closed|1933-03-14|(Tue)|National banking holiday.
closed|1933-07-24|(Mon)|Opened at 12:00 noon. Volume activity.
closed|1933-07-25|(Tue)|Opened at 12:00 noon. Volume activity.
partial|1933-07-26|(Wed)|Opened at 11:00 am, closed at 2:00 pm. Volume activity.
partial|1933-07-27|(Thu)|Opened at 11:00 am, closed at 2:00 pm. Volume activity.
partial|1933-07-28|(Fri)|Opened at 11:00 am, closed at 2:00 pm. Volume activity.
closed|1933-07-29|(Sat)|Volume activity.
early12.30pm|1933-08-04|(Fri)|Closed shortly after 12:30 pm – gas fumes on trading floor.
closed|1933-08-05|(Sat)|Volume activity.
closed|1933-08-12|(Sat)|Volume activity.
closed|1933-08-19|(Sat)|Volume activity.
closed|1933-08-26|(Sat)|Volume activity.
closed|1933-09-02|(Sat)|Volume activity.
closed|1933-09-13|(Wed)|Closed at 12:00 noon – NRA demonstration.
closed|1934-02-20|(Tue)|Opened at 11:00 am – severe snowstorm.
closed|1936-01-28|(Tue)|Closed from 10:00 to 11:00 am. Funeral of King George V of England.
closed|1936-12-26|(Sat)|Saturday after Christmas.
closed|1937-05-29|(Sat)|Saturday before Decoration Day.
