type|date|dayWeek|expl
open9.33am|2001-09-17|(Mon)|Trading reopened Monday, September 17, 2001, at 9:33 am following two minutes of silence in honor of the victims of the attack on the World Trade Center and then the singing of God Bless America.
partial|2001-10-08|(Mon)|The NYSE observed one minute of silence, from 9:30 to 9:31 am, in support of the troops engaged in Operation Enduring Freedom.
early1pm|2001-11-23|(Fri)|Closed at 1:00 pm. Day after Thanksgiving Day.
early1pm|2001-12-24|(Mon)|Closed at 1:00 pm. Christmas Eve.
partial|2002-05-30|(Thu)|The NYSE observed two minutes of silence, from 10:29 to 10:31 am, to commemorate the end of recovery work at Ground Zero.
early1pm|2002-07-05|(Fri)|Closed at 1:00 pm. Day after Independence Day.
open12.00|2002-09-11|(Wed)|Opening delayed until 12:00 noon out of respect for the memorial events commemorating the one-year anniversary of the attack on the World Trade Center.
early1pm|2002-11-29|(Fri)|Closed at 1:00 pm. Day after Thanksgiving Day.
early1pm|2002-12-24|(Tue)|Closed at 1:00 pm. Christmas Eve.
partial|2003-02-03|(Mon)|The NYSE observed two minutes of silence, from 11:00 to 11:02 am, in memory of the seven crewmembers who perished in the loss of the space shuttle Columbia on Feb. 1, 2003.
partial|2003-03-20|(Thu)|The NYSE observed two minutes of silence, from 9:30 to 9:32 am, in support of U.S. and allied troops participating in Operation Iraqi Freedom.
early1pm|2003-07-03|(Thu)|Closed at 1:00 pm. Day before Independence Day.
partial|2003-09-11|(Thu)|The NYSE observed one-minute moments of silence at 8:46, 9:03, 9:59 and 10:29 am in commemoration of 9/11. All trading ceased during the latter two observances which occurred during the trading session.
early1pm|2003-11-28|(Fri)|Closed at 1:00 pm. Day after Thanksgiving Day.
early1pm|2003-12-24|(Wed)|Closed at 1:00 pm. Christmas Eve.
early1pm|2003-12-26|(Fri)|Closed at 1:00 pm. Friday after Christmas Day.
partial|2004-06-07|(Mon)|The NYSE observed two minutes of silence, from 9:30 to 9:32 am, in memory of former President Ronald Reagan (died June 5, 2004).
closed|2004-06-11|(Fri)|Closed in observance of the National Day of Mourning for former President Ronald W. Reagan (died June 5, 2004).
early1pm|2004-11-26|(Fri)|Closed at 1:00 pm. Day after Thanksgiving Day.
ignored|2005-04-08|(Fri)|The NYSE observed one minute of silence in memory of Pope John Paul II (died April 2, 2005) from 9:29 am to 9:30 am (no trading halt). (2 Not a closing – took place prior to the opening of trading.)
early3.56pm|2005-06-01|(Wed)|Trading was halted at 3:56 pm (four minutes before the regular close), due to a systems communications problem. Trading did not resume and all Crossing Sessions were cancelled. Market reopened the following day at 9:30 am.
early1pm|2005-11-25|(Fri)|Closed at 1:00 pm. Day after Thanksgiving Day.
early1pm|2006-07-03|(Mon)|Closed at 1:00 pm. Day before Independence Day.
ignored|2006-09-11|(Mon)|The NYSE observed one minute of silence in commemoration of the five-year anniversary of 9/11, from 9:29 am to 9:30 am (no trading halt). ([3] Not a closing – took place prior to the opening of trading. In 2007, 2008, 2009 & 2010, a moment of silence was also observed on the Trading floor prior to the opening bell to commemorate the anniversary of 9/11.)
early1pm|2006-11-24|(Fri)|Closed at 1:00 pm. Day after Thanksgiving Day.
partial|2006-12-27|(Wed)|The NYSE observed two minutes of silence, from 9:30 to 9:32 am, in memory of former President Gerald Ford (died December 26, 2006).
closed|2007-01-02|(Tue)|Closed in observance of the National Day of Mourning for former President Gerald R. Ford (died December 26, 2006).
early1pm|2007-07-03|(Tue)|Closed at 1:00 pm. Day before Independence Day.
early1pm|2007-11-23|(Fri)|Closed at 1:00 pm. Day after Thanksgiving Day.
early1pm|2007-12-24|(Mon)|Closed at 1:00 pm. Christmas Eve.
early1pm|2008-07-03|(Thu)|Closed at 1:00 pm. Day before Independence Day.
early1pm|2008-11-28|(Fri)|Closed at 1:00 pm. Day after Thanksgiving Day.
early1pm|2008-12-24|(Wed)|Closed at 1:00 pm. Christmas Eve.
early4.15pm|2009-07-02|(Thu)|Closed at 4:15 pm in order to execute customer orders impacted by system irregularities.
early1pm|2009-11-27|(Fri)|Closed at 1:00 pm. Day after Thanksgiving Day.
early1pm|2009-12-24|(Thu)|Closed at 1:00 pm. Christmas Eve.
early1pm|2010-11-26|(Fri)|Closed at 1:00 pm. Day after Thanksgiving Day.
partial|2011-01-10|(Mon)|The NYSE observed one minute of silent prayer, from 11:00 to 11:01 am, for the victims of the Arizona shooting on January 8.
