"Symbol";"Name";"MarketCap";"Exchange"
"AA-P";"Alcoa Inc.";"$43.6";"AMEX"
"AAC";"Ableauctions.Com Inc";"$4.3";"AMEX"
"AAU";"Almaden Minerals, Ltd.";"$89.4";"AMEX"
"ABL";"American Biltrite Inc.";"$19.1";"AMEX"
"ABP";"Abraxas Petroleum Corporation";"$219.0";"AMEX"
"ACU";"Acme United Corporation.";"$46.9";"AMEX"
"ACY";"AeroCentury Corp.";"$19.2";"AMEX"
"ADG";"Allied Defense Group (The)";"$40.8";"AMEX"
"ADH";"Adherex Technologies Inc";"$26.9";"AMEX"
"ADJ";"Morgan Stanley";"$0.0";"AMEX"
"ADK";"Adcare Health Systems Inc";"$8.5";"AMEX"
"ADK-WT";"ADCARE HEALTH SYSTEMS INC";"$0.0";"AMEX"
"ADL";"AMDL INC";"$42.5";"AMEX"
"AE";"Adams Resources & Energy, Inc.";"$143.6";"AMEX"
"AEZ";"American Oil & Gas, Inc.";"$156.2";"AMEX"
"AFO";"Safety First Trust";"NA";"AMEX"
"AFP";"United Capital Corporation";"$169.5";"AMEX"
"AFT";"AXESSTEL INC";"$19.3";"AMEX"
"AGB";"Citigroup Inc.";"$74.3";"AMEX"
"AGT";"Apollo Gold Corporation";"$78.9";"AMEX"
"AGW";"Merrill Lynch & Co., Inc.";"$0.0";"AMEX"
"AGX";"Argan, Inc.";"$161.6";"AMEX"
"AID";"Law Enforcement Associates Corporation";"$6.4";"AMEX"
"AIM";"Aerosonic Corporation";"$9.0";"AMEX"
"AIP";"American Israeli Paper Mills, Ltd.";"$357.2";"AMEX"
"AIS";"Antares Pharma, Inc.";"$48.4";"AMEX"
"AKE";"Safety First Trust";"NA";"AMEX"
"AKN";"Safety First Trust";"NA";"AMEX"
"AMC";"American Mortgage Acceptance Company";"$4.3";"AMEX"
"AMC-PA";"American Mortgage Acceptance Company";"$2.7";"AMEX"
"AMK";"Morgan Stanley";"$0.0";"AMEX"
"AMM";"Safety First Trust";"NA";"AMEX"
"AMS";"American Shared Hospital Services";"$9.6";"AMEX"
"AMV";"Alternative Asset Management Acquisition Corp";"$481.3";"AMEX"
"AMV-U";"Alternative Asset Management Acquisition Corp";"$0.0";"AMEX"
"AMV-WT";"Alternative Asset Management Acquisition Corp";"$0.0";"AMEX"
"AMY";"AmREIT, Inc";"$38.7";"AMEX"
"ANE";"American Community Newspapers Inc.";"$2.9";"AMEX"
"ANE-U";"American Community Newspapers Inc.";"$0.0";"AMEX"
"ANE-WT";"American Community Newspapers Inc.";"$0.0";"AMEX"
"ANO";"Anooraq Resources Corporation";"$446.8";"AMEX"
"ANV";"Allied Nevada Gold Corp";"$341.2";"AMEX"
"ANX";"ADVENTRX Pharmaceuticals, Inc.";"$32.7";"AMEX"
"ANY";"Morgan Stanley";"$0.0";"AMEX"
"AOG";"Aurora Oil & Gas Corporation";"$47.3";"AMEX"
"API";"Advanced Photonix, Inc.";"$31.2";"AMEX"
"APO";"American Community Properties Trust";"$58.8";"AMEX"
"APP";"American Apparel Inc";"$439.7";"AMEX"
"APT";"Alpha Pro Tech, Ltd.";"$25.8";"AMEX"
"APY";"Aspyra,  Inc.";"$6.8";"AMEX"
"AQQ";"American Spectrum Realty, Inc.";"$52.7";"AMEX"
"ASY";"Elecsys Corporation";"$21.4";"AMEX"
