Symbol;ISIN;Description;Region;Classification;Curr;Type;Start
T9578R;CH0004103138;DJS TMI Telcom Eq [9578] EUR (Return);Europe;Subsector;EUR;Return;20-Sep-04
T9578V;CH0004103161;DJS TMI Telcom Eq [9578] USD (Return);Europe;Subsector;USD;Return;20-Sep-04
SXAE;EU0009658301;DJES Aut&Prt [3300] EUR (Price);Eurozone;Supersector;EUR;Price;15-Jun-98
SXAK;EU0009659143;DJES Aut&Prt [3300] USD (Price);Eurozone;Supersector;USD;Price;15-Jun-98
SXAT;EU0009658319;DJES Aut&Prt [3300] EUR (Return);Eurozone;Supersector;EUR;Return;15-Jun-98
SXAU;EU0009659150;DJES Aut&Prt [3300] USD (Return);Eurozone;Supersector;USD;Return;15-Jun-98
SX7E;EU0009658426;DJES Banks [8300] EUR (Price);Eurozone;Supersector;EUR;Price;15-Jun-98
SX7K;EU0009659267;DJES Banks [8300] USD (Price);Eurozone;Supersector;USD;Price;15-Jun-98
SX7T;EU0009658434;DJES Banks [8300] EUR (Return);Eurozone;Supersector;EUR;Return;15-Jun-98
SX7U;EU0009659275;DJES Banks [8300] USD (Return);Eurozone;Supersector;USD;Return;15-Jun-98
SXPE;EU0009658244;DJES Bas Res [1700] EUR (Price);Eurozone;Supersector;EUR;Price;15-Jun-98
