%Y-%m-%d;Open;High;Low;Close
1970-09-10;82.79;82.98;81.62;82.30
1970-09-11;82.30;83.19;81.81;82.52
1970-09-14;82.52;83.13;81.43;82.07
1970-09-15;82.07;82.11;80.75;81.36
1970-09-16;81.36;82.57;80.61;81.79
1970-09-17;81.79;83.09;81.51;82.29
1970-09-18;82.29;83.50;81.77;82.62
1970-09-21;82.62;83.15;81.52;81.91
1970-09-22;81.91;82.24;80.82;81.86
1970-09-23;81.86;83.15;81.52;81.91
1970-09-24;81.91;82.24;80.82;81.66
1970-09-25;81.66;83.60;81.41;82.83
1970-09-28;82.83;84.56;82.61;83.91
1970-09-29;83.91;84.57;83.11;83.86
1970-09-30;83.86;84.99;82.78;84.30
1970-10-01;84.30;84.70;83.46;84.32
1970-10-02;84.32;85.56;84.06;85.16
1970-10-05;85.16;86.99;85.01;86.47
1970-10-06;86.47;87.75;86.04;86.85
1970-10-07;86.85;87.47;85.55;86.89
1970-10-08;86.89;87.37;85.55;85.95
1970-10-09;85.95;86.25;84.54;85.08
1970-10-12;85.05;85.05;83.58;84.17
1970-10-13;84.17;84.70;83.24;84.06
1970-10-14;84.06;84.83;83.42;84.19
1970-10-15;84.19;85.28;83.82;84.65
1970-10-16;84.65;85.21;83.83;84.28
1970-10-19;84.28;84.29;82.81;83.15
1970-10-20;83.15;84.19;82.62;83.64
1970-10-21;83.64;84.72;83.21;83.66
1970-10-22;83.66;84.04;82.77;83.38
1970-10-23;83.38;84.30;82.91;83.77
1970-10-26;83.77;84.26;82.89;83.31
1970-10-27;83.31;83.73;82.52;83.12
1970-10-28;83.12;83.81;82.29;83.43
1970-10-29;83.43;84.10;82.82;83.36
1970-10-30;83.36;83.80;82.52;83.25
1970-11-02;83.25;83.99;82.66;83.51
1970-11-03;83.51;84.77;83.21;84.22
1970-11-04;84.22;85.26;83.82;84.39
1970-11-05;84.39;84.79;83.53;84.10
1970-11-06;84.10;84.73;83.55;84.22
1970-11-09;84.22;85.27;83.82;84.67
1970-11-10;84.67;85.69;84.18;84.79
1970-11-11;84.79;86.24;84.69;85.03
1970-11-12;85.03;85.54;83.81;84.15
1970-11-13;84.15;84.33;82.92;83.37
1970-11-16;83.37;83.75;82.34;83.24
1970-11-17;83.24;84.17;82.81;83.47
1970-11-18;83.47;83.53;82.41;82.79
1970-11-19;82.79;83.48;82.23;82.91
1970-11-20;82.91;84.06;82.49;83.72
1970-11-23;83.72;84.92;83.47;84.24
1970-11-24;84.24;85.18;83.59;84.78
1970-11-25;84.78;85.70;84.35;85.09
1970-11-27;85.09;86.21;84.67;85.93
1970-11-30;85.93;87.60;85.79;87.20
1970-12-01;87.20;88.61;86.11;87.47
1970-12-02;87.47;88.83;86.72;88.48
1970-12-03;88.48;89.87;88.11;88.90
1970-12-04;88.90;89.89;88.12;89.46
1970-12-07;89.46;90.39;88.76;89.94
1970-12-08;89.94;90.47;88.87;89.47
1970-12-09;89.47;90.03;88.48;89.54
1970-12-10;89.54;90.87;89.01;89.92
1970-12-11;89.92;90.93;89.44;90.26
1970-12-14;90.26;90.81;89.28;89.80
1970-12-15;89.80;90.32;88.93;89.66
1970-12-16;89.66;90.22;88.77;89.72
1970-12-17;89.72;90.61;89.31;90.04
1970-12-18;90.04;90.77;89.42;90.22
1970-12-21;90.22;90.77;89.36;89.94
1970-12-22;89.94;90.84;89.35;90.04
1970-12-23;90.04;90.86;89.35;90.10
1970-12-24;90.10;91.08;89.81;90.61
1970-12-28;90.61;91.49;90.28;91.09
1970-12-29;91.09;92.38;90.73;92.08
1970-12-30;92.08;92.99;91.60;92.27
1970-12-31;92.27;92.79;91.36;92.15
1971-01-04;92.15;92.19;90.64;91.15
1971-01-05;91.15;92.28;90.69;91.80
1971-01-06;91.80;93;91.50;92.35
1971-01-07;92.35;93.26;91.75;92.38
1971-01-08;92.38;93.02;91.60;92.19
1971-01-11;92.19;92.67;90.99;91.98
1971-01-12;91.98;93.28;91.63;92.72
1971-01-13;92.72;93.66;91.88;92.56
1971-01-14;92.56;93.36;91.67;92.80
1971-01-15;92.80;93.94;92.25;93.03
1971-01-18;93.03;94.11;92.63;93.41
1971-01-19;93.41;94.28;92.85;93.76
1971-01-20;93.76;94.53;93.07;93.78
1971-01-21;93.78;94.69;93.15;94.19
1971-01-22;94.19;95.53;93.96;94.88
1971-01-25;94.88;95.93;94.16;95.28
1971-01-26;95.28;96.36;94.69;95.59
1971-01-27;95.59;95.78;93.96;94.89
1971-01-28;94.89;95.78;94.12;95.21
1971-01-29;95.21;96.49;94.79;95.88
1971-02-01;95.88;97.05;95.38;96.42
1971-02-02;96.42;97.19;95.60;96.43
1971-02-03;96.43;97.19;95.58;96.63
1971-02-04;96.63;97.26;95.69;96.62
1971-02-05;96.62;97.58;95.84;96.93
1971-02-08;96.93;98.04;96.13;97.45
1971-02-09;97.45;98.50;96.90;97.51
1971-02-10;97.51;97.97;96.23;97.39
1971-02-11;97.39;98.49;96.99;97.91
1971-02-12;97.91;98.96;97.56;98.43
1971-02-16;98.43;99.59;97.85;98.66
1971-02-17;98.66;99.32;97.32;98.20
1971-02-18;98.20;98.60;96.96;97.56
1971-02-19;97.56;97.79;96.25;96.74
1971-02-22;96.65;96.65;94.97;95.72
1971-02-23;95.72;96.67;94.92;96.09
1971-02-24;96.09;97.34;95.86;96.73
1971-02-25;96.73;97.71;96.08;96.96
1971-02-26;96.96;97.54;95.84;96.75
1971-03-01;96.75;97.48;96.11;97
1971-03-02;97;97.60;96.32;96.98
1971-03-03;96.98;97.54;96.30;96.95
1971-03-04;96.95;98.38;96.90;97.92
1971-03-05;97.92;99.49;97.82;98.96
1971-03-08;98.96;99.44;98.42;99.38
1971-03-09;99.38;100.31;98.72;99.46
1971-03-10;99.46;100.10;98.63;99.30
1971-03-11;99.30;100.29;98.57;99.39
1971-03-12;99.39;100.09;98.64;99.57
1971-03-15;99.57;101.15;99.12;100.71
1971-03-16;100.71;101.94;100.36;101.21
1971-03-17;101.21;101.66;99.98;101.12
1971-03-18;101.12;102.03;100.43;101.19
1971-03-19;101.19;101.74;100.35;101.01
1971-03-22;101.01;101.46;100.08;100.62
1971-03-23;100.62;101.06;99.62;100.28
1971-03-24;100.28;100.63;99.15;99.62
1971-03-25;99.62;100.03;98.36;99.61
1971-03-26;99.61;100.65;99.18;99.95
1971-03-29;99.95;100.74;99.36;100.03
1971-03-30;100.03;100.86;99.41;100.26
1971-03-31;100.26;101.05;99.69;100.31
1971-04-01;100.31;100.99;99.63;100.39
1971-04-02;100.39;101.23;99.86;100.56
1971-04-05;100.56;101.41;99.88;100.79
1971-04-06;100.79;102.11;100.30;101.51
1971-04-07;101.51;102.87;101.13;101.98
1971-04-08;101.98;102.86;101.30;102.10
1971-04-12;102.10;103.54;101.75;102.88
1971-04-13;102.88;103.96;102.25;102.98
1971-04-14;102.98;104.01;102.28;103.37
1971-04-15;103.37;104.40;102.76;103.52
1971-04-16;103.52;104.18;102.68;103.49
1971-04-19;103.49;104.63;103.09;104.01
1971-04-20;104.01;104.58;103.06;103.61
1971-04-21;103.61;104.16;102.55;103.36
1971-04-22;103.36;104.27;102.58;103.56
1971-04-23;103.56;104.63;102.79;104.05
1971-04-26;104.05;104.83;103.19;103.94
1971-04-27;103.94;105.07;103.23;104.59
1971-04-28;104.59;105.60;103.85;104.77
1971-04-29;104.77;105.58;103.90;104.63
1971-04-30;104.63;104.96;103.25;103.95
1971-05-03;103.95;104.11;102.37;103.29
1971-05-04;103.29;104.36;102.71;103.79
1971-05-05;103.79;104.28;102.68;103.78
1971-05-06;103.78;104.42;102.80;103.23
1971-05-07;103.23;103.50;101.86;102.87
1971-05-10;102.87;103.15;101.71;102.36
1971-05-11;102.36;103.37;101.50;102.62
1971-05-12;102.62;103.57;102.12;102.90
1971-05-13;102.90;103.57;101.98;102.69
1971-05-14;102.69;103.17;101.65;102.21
1971-05-17;102.08;102.08;100.25;100.69
1971-05-18;100.69;101.62;99.68;100.83
1971-05-19;100.83;101.75;100.30;101.07
1971-05-20;101.07;102.17;100.61;101.31
1971-05-21;101.31;101.84;100.41;100.99
1971-05-24;100.99;101.24;99.72;100.13
1971-05-25;100.13;100.39;98.73;99.47
1971-05-26;99.47;100.49;98.93;99.59
1971-05-27;99.59;100.14;98.78;99.40
1971-05-28;99.40;100.17;98.68;99.63
1971-06-01;99.63;100.76;99.22;100.20
1971-06-02;100.20;101.53;99.89;100.96
1971-06-03;100.96;102.07;100.30;101.01
1971-06-04;101.01;101.88;100.43;101.30
1971-06-07;101.30;102.02;100.55;101.09
1971-06-08;101.09;101.50;99.91;100.32
1971-06-09;100.32;100.97;99.28;100.29
1971-06-10;100.29;101.23;99.78;100.64
1971-06-11;100.64;101.71;100.18;101.07
1971-06-14;101.07;101.28;99.78;100.22
1971-06-15;100.22;101.10;99.45;100.32
1971-06-16;100.32;101.29;99.68;100.52
1971-06-17;100.52;101.37;99.87;100.50
1971-06-18;100.50;100.63;98.65;98.97
1971-06-21;98.97;99.18;97.22;97.87
1971-06-22;97.87;98.66;96.92;97.59
1971-06-23;97.59;98.95;97.36;98.41
1971-06-24;98.41;99;97.59;98.13
1971-06-25;98.13;98.66;97.33;97.99
1971-06-28;97.99;98.48;97.02;97.74
1971-06-29;97.74;99.39;97.61;98.82
1971-06-30;98.82;100.29;98.68;98.70
1971-07-01;99.16;100.65;99.16;99.78
1971-07-02;99.78;100.31;99.09;99.78
1971-07-06;99.78;100.35;99.10;99.76
1971-07-07;99.76;100.83;99.25;100.04
1971-07-08;100.04;101.03;99.59;100.34
1971-07-09;100.34;101.33;99.86;100.69
1971-07-12;100.69;101.52;100.19;100.82
1971-07-13;100.82;101.06;99.07;99.50
1971-07-14;99.50;99.83;98.23;99.22
1971-07-15;99.22;100.48;98.76;99.28
1971-07-16;99.28;100.35;98.64;99.11
1971-07-19;99.11;99.57;98.11;98.93
1971-07-20;98.93;100.01;98.60;99.32
1971-07-21;99.32;100;98.74;99.28
1971-07-22;99.28;99.82;98.50;99.11
1971-07-23;99.11;99.60;98.26;98.94
1971-07-26;98.94;99.47;96.67;98.14
1971-07-27;98.14;98.99;97.42;97.78
1971-07-28;97.78;98.15;96.51;97.07
1971-07-29;97.07;97.22;95.37;96.02
1971-07-30;96.02;96.78;95.08;95.58
1971-08-02;95.58;96.76;95.22;95.96
1971-08-03;95.96;96.11;94.06;94.51
1971-08-04;94.51;95.34;93.35;93.89
1971-08-05;93.89;94.89;93.33;94.09
1971-08-06;94.09;94.91;93.63;94.25
1971-08-09;94.25;94.55;93.17;93.53
1971-08-10;93.53;94.13;92.81;93.54
1971-08-11;93.54;95.06;93.35;94.66
1971-08-12;94.81;96.50;94.81;96
1971-08-13;96;96.53;95.19;95.69
1971-08-16;97.90;100.96;97.90;98.76
1971-08-17;98.76;101;98.49;99.99
1971-08-18;99.99;100.19;98.06;98.60
1971-08-19;98.60;99.07;97.35;98.16
1971-08-20;98.16;98.94;97.52;98.33
1971-08-23;98.33;99.96;98.09;99.25
1971-08-24;99.25;101.02;99.15;100.40
1971-08-25;100.40;101.51;99.77;100.41
1971-08-26;100.41;101.12;99.40;100.24
1971-08-27;100.24;101.22;99.76;100.48
1971-08-30;100.48;100.89;99.17;99.52
1971-08-31;99.52;99.76;98.32;99.03
1971-09-01;99.03;99.84;98.50;99.07
1971-09-02;99.07;99.80;98.52;99.29
1971-09-03;99.29;100.93;99.10;100.69
1971-09-07;100.69;102.25;100.43;101.15
1971-09-08;101.15;101.94;100.52;101.34
1971-09-09;101.34;101.88;100.38;100.80
1971-09-10;100.80;101.01;99.69;100.42
1971-09-13;100.42;100.84;99.49;100.07
1971-09-14;100.07;100.35;98.99;99.34
1971-09-15;99.34;100.24;98.79;99.77
1971-09-16;99.77;100.35;99.07;99.66
1971-09-17;99.66;100.52;99.26;99.96
1971-09-20;99.96;100.40;99.14;99.68
1971-09-21;99.68;100.08;98.71;99.34
1971-09-22;99.34;99.72;98.15;98.47
1971-09-23;98.47;99.12;97.61;98.38
1971-09-24;98.38;99.35;97.78;98.15
1971-09-27;98.15;98.41;96.97;97.62
1971-09-28;97.62;98.55;97.12;97.88
1971-09-29;97.88;98.51;97.29;97.90
1971-09-30;97.90;98.97;97.48;98.34
1971-10-01;98.34;99.49;97.96;98.93
1971-10-04;98.93;100.04;98.62;99.21
1971-10-05;99.21;99.78;98.34;99.11
1971-10-06;99.11;100.13;98.49;99.82
1971-10-07;99.82;100.96;99.42;100.02
1971-10-08;100.02;100.30;98.87;99.36
1971-10-11;99.36;99.62;98.58;99.21
1971-10-12;99.21;100.20;98.62;99.57
1971-10-13;99.57;100.08;98.61;99.03
1971-10-14;99.03;99.25;97.74;98.13
1971-10-15;98.13;98.45;97.03;97.79
1971-10-18;97.79;98.33;96.98;97.35
1971-10-19;97.35;97.66;96.05;97
1971-10-20;97;97.45;95.23;95.65
1971-10-21;95.65;96.33;94.59;95.60
1971-10-22;95.60;96.83;94.97;95.57
1971-10-25;95.57;95.76;94.57;95.10
1971-10-26;95.02;95.02;94.38;94.74
1971-10-27;94.74;94.99;93.39;93.79
1971-10-28;93.79;94.75;92.96;93.96
1971-10-29;93.96;94.71;93.28;94.23
1971-11-01;94.23;94.43;92.48;92.80
1971-11-02;92.80;93.73;91.84;93.18
1971-11-03;93.27;95.31;93.27;94.91
1971-11-04;94.91;96.08;94.37;94.79
1971-11-05;94.79;95.01;93.64;94.46
1971-11-08;94.46;94.97;93.78;94.39
1971-11-09;94.39;95.31;93.94;94.46
1971-11-10;94.46;94.84;93.10;93.41
1971-11-11;93.41;93.54;91.64;92.12
1971-11-12;92.12;92.90;90.93;92.12
1971-11-15;92.12;92.69;91.38;91.81
1971-11-16;91.81;93.15;91.21;92.71
1971-11-17;92.71;93.35;91.80;92.85
1971-11-18;92.85;93.62;91.88;92.13
1971-11-19;92.13;92.38;90.95;91.61
1971-11-22;91.61;92.12;90.51;90.79
1971-11-23;90.79;91.10;89.34;90.16
1971-11-24;90.16;91.14;89.73;90.33
1971-11-26;90.33;92.19;90.27;91.94
1971-11-29;92.04;94.90;92.04;93.41
1971-11-30;93.41;94.43;92.51;93.99
1971-12-01;93.99;96.12;93.95;95.44
1971-12-02;95.44;96.59;94.73;95.84
1971-12-03;95.84;97.57;95.36;97.06
1971-12-06;97.06;98.17;96.07;96.51
1971-12-07;96.51;97.35;95.40;96.87
1971-12-08;96.87;97.65;96.08;96.92
1971-12-09;96.96;96.96;96.96;96.96
1971-12-10;97.69;97.69;97.69;97.69
1971-12-13;97.97;97.97;97.97;97.97
1971-12-14;97.67;97.67;97.67;97.67
1971-12-15;98.54;98.54;98.54;98.54
1971-12-16;99.74;99.74;99.74;99.74
1971-12-17;100.26;100.26;100.26;100.26
1971-12-20;101.55;101.55;101.55;101.55
1971-12-21;101.80;101.80;101.80;101.80
1971-12-22;101.18;101.18;101.18;101.18
1971-12-23;100.74;100.74;100.74;100.74
1971-12-27;100.95;100.95;100.95;100.95
1971-12-28;101.95;101.95;101.95;101.95
1971-12-29;102.21;102.21;102.21;102.21
1971-12-30;101.78;101.78;101.78;101.78
1971-12-31;102.09;102.09;102.09;102.09
1972-01-03;102.09;102.85;101.19;101.67
1972-01-04;101.67;102.59;100.87;102.09
1972-01-05;102.09;103.69;101.90;103.06
1972-01-06;103.06;104.20;102.66;103.51
1972-01-07;103.51;104.29;102.38;103.47
1972-01-10;103.47;103.97;102.44;103.32
1972-01-11;103.32;104.30;102.85;103.65
1972-01-12;103.65;104.66;103.05;103.59
1972-01-13;103.59;103.80;102.29;102.99
1972-01-14;102.99;103.89;102.41;103.39
1972-01-17;103.39;104.24;102.80;103.70
1972-01-18;103.70;104.85;103.35;104.05
1972-01-19;104.05;104.61;102.83;103.88
1972-01-20;103.88;105;103.32;103.88
1972-01-21;103.88;104.40;102.75;103.65
1972-01-24;103.65;104.03;102.20;102.57
1972-01-25;102.57;103.59;101.63;102.70
1972-01-26;102.70;103.31;101.81;102.50
1972-01-27;102.50;103.93;102.20;103.50
1972-01-28;103.50;104.98;103.22;104.16
1972-01-31;104.16;104.88;103.30;103.94
1972-02-01;103.94;104.57;103.10;104.01
1972-02-02;104.01;105.41;103.50;104.68
1972-02-03;104.68;105.43;103.85;104.64
1972-02-04;104.64;105.48;104.05;104.86
1972-02-07;104.86;105.46;103.97;104.54
1972-02-08;104.54;105.22;103.90;104.74
1972-02-09;104.74;106.03;104.36;105.55
1972-02-10;105.55;106.69;104.97;105.59
1972-02-11;105.59;105.91;104.45;105.08
1972-02-14;105.08;105.53;104.03;104.59
1972-02-15;104.59;105.59;104.10;105.03
1972-02-16;105.03;106.25;104.65;105.62
1972-02-17;105.62;106.65;104.96;105.59
1972-02-18;105.59;106.01;104.47;105.28
1972-02-22;105.28;106.18;104.65;105.29
1972-02-23;105.29;106.18;104.72;105.38
1972-02-24;105.38;106.24;104.76;105.45
1972-02-25;105.45;106.73;105.04;106.18
1972-02-28;106.18;107.04;105.37;106.19
1972-02-29;106.19;107.16;105.45;106.57
1972-03-01;106.57;108.13;106.21;107.35
1972-03-02;107.35;108.39;106.63;107.32
1972-03-03;107.32;108.51;106.78;107.94
1972-03-06;107.94;109.40;107.64;108.77
1972-03-07;108.77;109.72;108.02;108.87
1972-03-08;108.87;109.68;108.04;108.96
1972-03-09;108.96;109.75;108.19;108.94
1972-03-10;108.94;109.37;107.77;108.38
1972-03-13;108.38;108.52;106.71;107.33
1972-03-14;107.33;108.20;106.71;107.61
1972-03-15;107.61;108.55;107.09;107.75
1972-03-16;107.75;108.22;106.55;107.50
1972-03-17;107.50;108.61;106.89;107.92
1972-03-20;107.92;108.81;107.18;107.59
1972-03-21;107.59;107.68;105.86;106.69
1972-03-22;106.69;107.52;106;106.84
1972-03-23;106.84;108.33;106.67;107.75
1972-03-24;107.75;108.36;106.95;107.52
1972-03-27;107.52;108;106.53;107.30
1972-03-28;107.30;108.08;106.22;107.17
1972-03-29;107.17;107.41;105.98;106.49
1972-03-30;106.49;107.67;106.07;107.20
1972-04-03;107.20;108.26;106.75;107.48
1972-04-04;107.48;108.62;106.77;108.12
1972-04-05;108.12;109.64;107.96;109
1972-04-06;109;110.29;108.53;109.53
1972-04-07;109.53;110.15;108.53;109.62
1972-04-10;109.62;110.54;108.89;109.45
1972-04-11;109.45;110.38;108.76;109.76
1972-04-12;109.76;111.11;109.36;110.18
1972-04-13;110.18;110.79;109.37;109.91
1972-04-14;109.91;110.56;109.07;109.84
1972-04-17;109.84;110.22;108.77;109.51
1972-04-18;109.51;110.64;109.02;109.77
1972-04-19;109.77;110.35;108.71;109.20
1972-04-20;109.20;109.69;108.08;109.04
1972-04-21;109.04;109.92;108.30;108.89
1972-04-24;108.89;109.19;107.62;108.19
1972-04-25;108.19;108.29;106.70;107.12
1972-04-26;107.12;107.89;106.18;106.89
1972-04-27;106.89;107.89;106.42;107.05
1972-04-28;107.05;108.28;106.70;107.67
1972-05-01;107.67;108;106.30;106.69
1972-05-02;106.69;107.37;105.55;106.08
1972-05-03;106.08;107.24;105.44;105.99
1972-05-04;105.99;106.81;105.14;106.25
1972-05-05;106.25;107.33;105.70;106.63
1972-05-08;106.63;106.81;105.36;106.14
1972-05-09;106.06;106.06;103.83;104.74
1972-05-10;104.74;106.10;104.43;105.42
1972-05-11;105.42;106.45;104.90;105.77
1972-05-12;105.77;107.02;105.49;106.38
1972-05-15;106.38;107.45;106.06;106.86
1972-05-16;106.86;107.55;106.13;106.66
1972-05-17;106.66;107.38;106.02;106.89
1972-05-18;106.89;108.39;106.72;107.94
1972-05-19;107.94;109.59;107.74;108.98
1972-05-22;108.98;110.37;108.79;109.69
1972-05-23;109.69;110.46;108.91;109.78
1972-05-24;109.78;111.07;109.39;110.31
1972-05-25;110.31;111.20;109.67;110.46
